Day,Start Time,End Time,Division,Activity,Teams,Field,Volunteers
"Saturday","11:15","11:35","Simple Simon Soccer","⚽ OSPS - Team Spider Bot vs Brissie Ballers","OSPS - Team Spider Bot vs Brissie Ballers","Soccer Field 12","Malik"
"Saturday","11:15","11:35","Simple Simon Soccer","⚽ Ctrl-Alt-Defeat vs Twinpwr","Ctrl-Alt-Defeat vs Twinpwr","Soccer Field 11","Elena"
"Saturday","11:30","11:40","Standard Soccer","💬 KIC Potatoes Interview","KIC Potatoes","Interview Table B","Nolan"
"Saturday","11:40","12:00","Lightweight Soccer","⚽ Polynices Bot vs Legacy","Polynices Bot vs Legacy","Soccer Field 5","Priya; Aria"
"Saturday","11:40","12:00","Lightweight Soccer","⚽ Athena Robotics vs Flippant Potato","Athena Robotics vs Flippant Potato","Soccer Field 4","Bob (General Ref); John (Simon Open Ref)"
"Saturday","11:40","12:00","Open Soccer","⚽ Typhoon vs Aurora","Typhoon vs Aurora","Soccer Field 2","Tessa; Elena"
"Saturday","11:40","12:00","Open Soccer","⚽ Battery Acid vs Mechanical Ragebaiters","Battery Acid vs Mechanical Ragebaiters","Soccer Field 1","Zara; Emily (General Ref)"
"Saturday","11:40","12:00","Open Soccer","⚽ Magic smoke vs Entropy","Magic smoke vs Entropy","Soccer Field 3","David (Soccer Ref); Emily (General Ref)"
"Saturday","11:40","12:00","Standard Soccer","⚽ Invincible Warriors vs AERYX","Invincible Warriors vs AERYX","Soccer Field 7","Sarah (Soccer Ref)"
"Saturday","11:40","12:00","Standard Soccer","⚽ 4A1I vs D D D","4A1I vs D D D","Soccer Field 10","Alice (Simon Open Ref)"
"Saturday","11:40","12:00","Standard Soccer","⚽ Insert Name Here vs TwoPowerSix","Insert Name Here vs TwoPowerSix","Soccer Field 9","Malik"
"Saturday","11:40","12:00","Simple Simon Soccer","⚽ Twinpwr vs OSPS - Team Beetle Bot","Twinpwr vs OSPS - Team Beetle Bot","Soccer Field 11","Felix"
"Saturday","11:45","11:55","Open Soccer","💬 TS Interview","TS","Interview Table C","Nolan; Charlie (General Ref)"
"Saturday","11:45","11:55","Open Soccer","💬 Devious Dogs Interview","Devious Dogs","Interview Table B","Bianca; Rowan"
"Saturday","11:45","11:55","Standard Soccer","💬 To Tall To Fall Interview","To Tall To Fall","Interview Table A","Jasper"
"Saturday","13:00","13:20","Lightweight Soccer","⚽ Triton vs 80N35","Triton vs 80N35","Soccer Field 4","Elena; Jasper"
"Saturday","13:00","13:20","Lightweight Soccer","⚽ Flippant Potato vs BundahBots","Flippant Potato vs BundahBots","Soccer Field 6","Alice (Simon Open Ref); Bob (General Ref)"
"Saturday","13:00","13:20","Lightweight Soccer","⚽ C-A-R Go Vroom Vroom vs Trinity","C-A-R Go Vroom Vroom vs Trinity","Soccer Field 5","Malik; Zara"
"Saturday","13:00","13:20","Open Soccer","⚽ Robohampsters vs deepseeking attention","Robohampsters vs deepseeking attention","Soccer Field 2","Bianca; Nolan"
"Saturday","13:00","13:20","Open Soccer","⚽ Tom and Gerry vs Lotus","Tom and Gerry vs Lotus","Soccer Field 1","David (Soccer Ref); Sarah (Soccer Ref)"
"Saturday","13:00","13:10","Open Soccer","💬 Aurora Interview","Aurora","Interview Table B","Priya; Emily (General Ref)"
"Saturday","13:00","13:20","Standard Soccer","⚽ To Tall To Fall vs Sytar Soccer","To Tall To Fall vs Sytar Soccer","Soccer Field 12","Charlie (General Ref)"
"Saturday","13:00","13:20","Standard Soccer","⚽ ADVA vs Ball Seekers","ADVA vs Ball Seekers","Soccer Field 7","Aria"
"Saturday","13:00","13:20","Standard Soccer","⚽ Low taper fade vs Tech Support","Low taper fade vs Tech Support","Soccer Field 11","Felix"
"Saturday","13:00","13:10","Standard Soccer","💬 Bundy Botz Interview","Bundy Botz","Interview Table C","John (Simon Open Ref)"
